Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Apocalipsis infernal,1993,,"According to direct testimonies collected from the family of the Mexican filmmaker Christian González, with the actor Leonardo Daniel and with the actress Azela Robinson, this is a film that does not exist and may be is some other film made by the director Christian González but with the title changed by some US film distributor and with the protagonists added to the technical sheet on IMDB without any rigor and without really having acted in it. It could be ""Furia de barrio"" made in the same year of 1993 by Christian González where Leonardo Daniel and Roberto 'Flaco' Guzmán would have acted together and the photography would have been by Juan Carlos Martín, but Azela Robinson would not have acted in it who never acted in any film directed by Christian González nor did she work in any film with Roberto 'Flaco' Guzmán, as she herself has clarified. If ""Furia del barrio"" was reissued as ""Infernal Apocalypse"" more information is required to confirm it.",es,N/A,5,Christian González,Manzano Producciones,
Furia de barrio,1993,,,es,https://image.tmdb.org/t/p/w500/Il437kHkTv4mBeTSmFQbqWKoT5.jpg,5,N/A,,
How Much I Love You,1993,18,"A man whose face is burned beyond recognition, facing multiple operations, despairs, but is brought back to the land of the living by the love of a woman and his faith in God.",tl,https://image.tmdb.org/t/p/w500/3WcD4bwJkqDT3Feh4JiWLp7dRHr.jpg,0,Butch Perez,Stellar Film,
Por error,1993,,,es,https://image.tmdb.org/t/p/w500/9Qz3DB2JyEsRlYldNhHGhUylrfa.jpg,5,N/A,,
Sentenciado,1993,28,A group of undocumented Mexican farm workers must fight against Neo-Nazis in the United States.,es,https://image.tmdb.org/t/p/w500/23GSGfMjUi7XkbhmkfvTCkLb0Wl.jpg,5,Román Hernández,"Mexcinema Video Corp., Producciones Potosí S.A., Central de Video del Noroeste",
El Báculo de Pioquinto,1993,,,es,https://image.tmdb.org/t/p/w500/7wqf10t0FmjrSTUwYPETRjfaUJ7.jpg,4.2,N/A,,
Bulldog,1993,,Rogue cop has served a prison sentence for an accidental death during one of his zealous interrogation sessions... but now he's back on the streets.,es,https://image.tmdb.org/t/p/w500/s179sTBQK50llJsAM2eh5UGszBM.jpg,5,Christian González,,
Como diablo en el panteon,1993,,,es,N/A,5,N/A,,
En espera de la muerte,1993,,,es,https://image.tmdb.org/t/p/w500/lSWcj6kKqJNXy52RK5DKaK0kHUE.jpg,5,Jorge Manrique,,
Manila Boy,1993,,,tl,https://image.tmdb.org/t/p/w500/n8Dom0dN97G34hiY1EFNSJ2tfep.jpg,6,Arturo San Agustin,,
La muerte de un cardenal,1993,,,es,N/A,5,N/A,,
Paranaque Bank Robbery,1993,"28, 18","There was a robbery in the bank where Joselito Joseco (Gary Estrada) was employed and having adapted the guts and bravery of his idol, he was able to save the loot and shoot down the robbers.",tl,https://image.tmdb.org/t/p/w500/x2ugayIQCdMsVcVa8CUU3maUWbs.jpg,0,Argel Joseph,,
Silang Mga Sisiw sa Lansangan,1993,18,Four kids stow away from home and became street children. A philanthropist adopted them and treated them as his family until they were held hostages.,tl,https://image.tmdb.org/t/p/w500/dkmv8L8SEPh24FMw2eY24TQDE4n.jpg,6,Agustin de la Cruz,"Golden Tiger International, ATB-4 Films",
Sueño y realidad,1993,"18, 10402",The members of Mexican pop group “Los Temerarios” face challenges in order to achieve fame.,es,https://image.tmdb.org/t/p/w500/laPDstJ1pY1TtatCYIbUn5MIIX9.jpg,5.7,Raúl Araiza,,
Alejandro 'Diablo' Malubay,1993,,"Alejandro 'Diablo' Malubay: Directed by Augusto Salvador. With Ronnie Ricketts, Jessica Maria Rodriguez, Janine Barredo, Robert Arevalo.",en,N/A,0,N/A,,
Michael and Madonna 2,1993,35,"The sequel of the journey of the duo, Michael and Madonna, directed by Tony Cruz.",en,https://image.tmdb.org/t/p/w500/1ilaPRJoOxsQDVhE2bs3FIXtbyS.jpg,0,Tony Cruz,Regal Entertainment Inc.,
Teenage Mama,1993,,"Teenage Mama: Directed by Maryo J. de los Reyes. With Jackie Forster, Sunshine Cruz, Karla Estrada, Gina Alajar.",en,https://image.tmdb.org/t/p/w500/ylDXmXfCQIR85vdm3g3TgcQeHJk.jpg,0,N/A,,
Asesino por herencia,1993,,,es,https://image.tmdb.org/t/p/w500/d0ZdJ04bpta0e5eT5Kinlc04NHK.jpg,5,N/A,,
La Cantina,1994,,,es,https://image.tmdb.org/t/p/w500/yCEaVaDHlFywfkmh0BbAApdpmQD.jpg,5.3,Víctor Manuel Castro,Cinematografica Vicarsa,
Me muero de la risa,1990,35,A film full of comedy skits of all kinds.,es,N/A,4,René Cardona Jr.,Productora Fílmica Real,
Sky Cannot Be This Blue,1993,"18, 35","Kantarou Kobayashi is an ordinary businessman who has multiple troubles on hand. He's been having an affair with a woman working in the same company, but she does lots of eccentric things. His wife has no interrest in anything but her plan to build a new apartment where their old house is. His son suffers skin eruptions. His mother appears to have senile dementia.",ja,https://image.tmdb.org/t/p/w500/lQ8Ry5esvjwuRTj8Hso9ETUZYlG.jpg,0,Akira Emoto,,
Antim Nyay,1993,"28, 80, 18","Jay Singh lives a middle-classed lifestyle along with his dad, Raghunath, and mom, in Bombay. His dad is killed, and both he and his mother attempt to get justice, but their efforts prove to be all in vain. Then he meets with Seema, the only daughter of Editor Aadesh Varma, both fall in love and get engaged. Jay takes a course in Indian Police Services and hopes to become a police officer.",hi,https://image.tmdb.org/t/p/w500/tJiFLFbk5K6yCKwb3xlURShibEp.jpg,4,Sukhwant Dhadda,,
Cuatro a la fuga,1993,"28, 80, 53",,es,https://image.tmdb.org/t/p/w500/mrd66QfgKm2mCPe4BeLkCkvAXTP.jpg,5,Gilberto de Anda,,
Makuha Ka sa Tingin: Kung Puede lang,1993,"10749, 28","Elcid (Robin Padilla) and his buddy, Tembong (Dennis Padilla), decided to go to the capital city of the Philippines, Manila to search for greener pasture but they encounter a series of setbacks and misadventures.",en,https://image.tmdb.org/t/p/w500/f0xl37XqIGwsD53Q9S7GSfVGvFv.jpg,0,Deo Fajardo Jr.,Viva Films,
Akin Ka Magdusa Man Ako,1991,18,,tl,https://image.tmdb.org/t/p/w500/f8pgY5coZFwEzPmakmwBO0TaYYL.jpg,0,Laurice Guillen,Seiko Films,
Pido Dida 3: May Kambal Na,1993,35,Last part of the trilogy movie starred by Rene Requiestas.,tl,https://image.tmdb.org/t/p/w500/e6zpa9wT2wODZxbG7izliWnpL77.jpg,5,Tony Cruz,Regal Entertainment Inc.,
Chor Aur Chand,1993,"18, 80, 28, 12, 10749",Reema runs away from her home to avoid a forced marriage. She is joined by two criminals who are escaping the law as well as getting hunted by a gangster.,hi,https://image.tmdb.org/t/p/w500/n66fvwC773rdjwSTzaoQ3rulMd9.jpg,10,Pavan Kaul,,
Tahqiqaat,1993,"80, 9648",Villagers are shocked by the sudden death of Mary. Father Prem Fernandes gets legal permission to conduct a postmortem on Mary's body by removing it from her grave.,hi,https://image.tmdb.org/t/p/w500/5COmK0BPx9hord40kmIOrJ2uiFh.jpg,0,Jagannathan,,
Rossellini Through His Own Eyes,1993,99,"Made up almost entirely of archival interviews with Italian film director Roberto Rossellini (with audio interviews playing over various behind-the-scene bits and archival footage) the director recalls his early life, how he got into film, his political beliefs and how they were formed.",it,https://image.tmdb.org/t/p/w500/eIpNXqfVhYuckNVQjMC39eUU5IY.jpg,0,Adriano Aprà,"Cineteca Nazionale C.S.C, Istituto Luce Cinecittà",
Identification,1991,18,"The hero of the film consciously goes to extreme actions and analysis of the psychological process, where subconscious pictures of visions and discoveries give grounds for real fears for the future of humanity. The semantic and pictorial fabric of the film develops against the background of deep retrospectives about the emergence of Christianity. The film was shot in 1991 by actor Nikolai Kochegarov in Minsk.",ru,https://image.tmdb.org/t/p/w500/ytshariTgSFpmwIoTOlFKebY5QP.jpg,10,Nikolay Kochegarov,,
Wagon,1993,18,"After perestroika in the Soviet Union there is a total collapse of the Soviet system, which leads to chaos in the country. The protagonist of the film, a foreign student, after graduation does not want to return to his country because of the military coup that took place there. But the Soviet government gave clear deadlines for him to leave the country.",ru,https://image.tmdb.org/t/p/w500/bcAZwWMn86wj2Hy1dLIy0BIgNyV.jpg,6,Semir Aslanyürek,"Art Union Ecofilm, Okeanus International (joint production), Hiltas Ltd.",
When Adam Opens His Eyes,1993,18,"Adam fails in the college-entrance exam but he tries again for next year. His age if 19 What he wants to have are a typewriter, a Mook picture book a cassette radio and a turntable. Those are all he wants in this big world He has an elder brother. Their mother works hard to get them a college education His brother was a college student activist, and is now studying abroad at government expense. One of his wishes is ful-filled when he works for an old lady painter how gives him a Mook picture book for being her model And he receives a turntable for his part-time work for an audio-equipment shop owner Now he finds a nice girlfriend.",ko,N/A,0,Kim Ho-sun,"Hwa Jin Films Co., Ltd",
Tonyo Bagyo: Daig pa ang asong ulol,1993,,Tony Bagyo (John Regala) fell in love with Emy (Sharmaine Arnaiz) when she went back to the Philippines. Tony bought a house for Emy because they are planning to be together. But Bogart (Michael De Mesa) is a rich and spoiled brat man who is obsessed with Emy. He doesn’t want any man to get involved with Emy. If He can’t be with Emy it is better to see her dead than to be with another man.,en,https://image.tmdb.org/t/p/w500/j4ITC9QUyNndKX1eJE04bZfar8c.jpg,0,Dante Javier,,
Game,1993,"28, 80, 18","Vikram and Ajay, two brothers, live with their parents. Their dad trains Vikram to always remain ahead in a chess championship. This education makes Vikram, the unchallenged don of the underworld.",hi,N/A,0,Anil Mattoo,,
Baghi Soormay,1993,,"Farmer Jagga joins the army to fight the Britishers's atrocities on Indian soldiers. In a bid to stop him in his battle, the British officers harass his family members.",en,N/A,0,N/A,,
Tabaahi,1993,,"When honest Thanedar Harnek Singh comes to know that Mantri Balwant Singh is involved in drug trafficking, he decides to expose him at any and all costs. Despite of veiled threats to him and his family, which consists of his widower father; wife; daughter, Guddi; sister, Janki and her husband Dr. Ram Kumar Sharma; and brother, Sukhchen; he carries on. One day his dead body is found by the Police. Sukhchen comes to know that another police officer, Sheva Singh, and Balwant are the culprits, and he sets out to expose them. Shortly thereafter the Police raid their house, find unauthorized weapons, arrest Sukhchen, hold him in a cell, and torture him. Harnek's widow approaches DIG Vijay Tandon and pleads with him. Before Vijay could intervene, Sukhchen escapes, and joins a gang of bandits, not realizing that soon the remainder of his family will become easy targets of not Balwant's goons, the police, but the local community itself.",en,https://image.tmdb.org/t/p/w500/1yojZl7uuYg1lgzhmc6sqkpGffH.jpg,0,N/A,,
Pusoy Dos,1993,"35, 28",Billy and Jack are modern-day Robin Hoods who engage in petty scums to earn money for the upkeep of a daycare center for indigent and underprivileged children.,tl,https://image.tmdb.org/t/p/w500/8d9DkEy3kfQ6dEyI2Zc4PnHNuMd.jpg,0,Jun Aristorenas,Viva Films,
Patapon,1993,28,"Raul ponders living a virtuous life, free from the cruel ways of the world. However, his dreams will be tested when he encounters violence.",tl,https://image.tmdb.org/t/p/w500/15fvJVCNwcgMPQdlgWKlucSjjQI.jpg,0,Leonardo L. Garcia,EDL Producciones,
No More Dirty Deals,1993,,A mechanic runs afoul of a group of modern day pirates when he falls for a female member of a water based criminal gang.,en,https://image.tmdb.org/t/p/w500/bixTLX6GPJrc4IOIpbtqOVaM8yz.jpg,0,David J. Schweitzer,,
Ayaw Ko Ng Mangarap,1993,,Edward is always distracted by his GameBoy and forgets to tend to his wife who comes into a possession of a magical artifact.,en,N/A,0,N/A,Seiko Films,
"The Vizconde Massacre: God, Help Us!",1993,"80, 27, 18","A gruesome look into the infamous and seemingly neverending 1991 Vizconde murder case in the Philippines where a woman, her teen daughter, and a 6-year-old were all viciously stabbed to death while the husband was away in America on business.",tl,https://image.tmdb.org/t/p/w500/gAWtIVowJVAjMwd5jUsAnp8R1Zq.jpg,0,Carlo J. Caparas,Golden Lions Films,
The Vanished Woman,1993,18,,zh,https://image.tmdb.org/t/p/w500/drA59jUh7yPJmAUvaxI5Zfx1cYe.jpg,0,Liu Baolin,,
The 1001 Gags of Spiff & Hercules,1993,"16, 35","Hercule wishes to be recognized at last as the star that he always was. He does not accept that Pif, this fleabag, can delight stardom. He decides, therefore, on an impulse, to change his life and retire to a deserted island- or the nearest thing: to relate his career and write his own film. In a paradise-like setting, Hercule recounts the biggest roles of his career. Pif isn't absent from his memories, but Hercule still considers him to be a fifth wheel... However, this, in reality, is not exactly the case.",fr,https://image.tmdb.org/t/p/w500/AfvxFqLmigy2DBtEmpmUovqONGq.jpg,5,Bruno Desraisses,,
Zıkkımın Kökü,1993,18,,tr,https://image.tmdb.org/t/p/w500/jGC6U8AChVwWBXsdby2w5ojEyM2.jpg,5.8,Memduh Ün,,
Miya Biwi Aur Saali,N/A,,"In a small rural town live Akheela and her family, consisting of her submissive and mousy husband, her brother, Gokunath, and two daughters. Her elder daughter, Shivani, studies in the city college, and her younger one lives with her. Shivani meets with a cheeky fellow collegian and decides to teach him a lesson - which lands him in jail. Karan swears to avenge this humiliation. One day while Akheela is traveling by car she is stopped by a town-member, who would like his son to marry Shivani. Akheela is angered at this, but unable to defend herself. Karan comes to her rescue, thus earning her gratitude. Karan endears himself with all of Shivani's family members, and even extracts a promise from Akheela that she will get him married to Shivani. When Shivani returns home, she is angered to find that her mother has chosen Karan as her husband. The marriage takes place, and Shivani hopes that things will get better between them. It is then she finds out that Karan really seems to be ...",en,https://image.tmdb.org/t/p/w500/hbornqH09mCJdYP2Gm2H1l72pn9.jpg,8,N/A,,
Kahit May Mahal Ka Nang Iba,1993,"18, 10749","A 1993 Filipino steamy romantic drama starring Cristina Gonzales, Karla Estrada, and Albert Martinez.",tl,N/A,2,Gil Portes,"Good Harvest Productions, Regal Entertainment Inc.",
Hasti,1993,,"Film starring Jackie Shroff, Naseeruddin Shah and Nagma",en,https://image.tmdb.org/t/p/w500/9R7lyPRUtWMq1KuMc3pgm4WyEZQ.jpg,1,N/A,,
Hulihin Probinsiyanong Mandurukot,1993,35,Rene Requiestas plays a man recently arrived from the province who meets a pretty young woman (Ruffa Gutierrez) who turns out to be a snatcher. She becomes his love interest and becomes a snatcher himself.,en,https://image.tmdb.org/t/p/w500/o7MbU8gHEMKVzlV1zrD0PtRTOOj.jpg,6,Efren Jarlego,Regal Entertainment Inc.,
The Nature of Space,1993,99,"In The Nature of Space, Frank Scheffer juxtaposes the ideas of two Dutch architects: the Benedictine monk Dom H. van der Laan and the anthroposophic architect Ton Alberts. Van der Laan represents a plain and pure architecture, based on his own research into ratios. He designed churches and monasteries, among them a monastery in Vaals. Ton Alberts works from organic forms, as demonstrated by his design of the NMB Bank headquarters in Amsterdam. Director Frank Scheffer stresses the difference in style between these architects, both of whom allow their spiritual background to be reflected in their work, by adopting a very different camera style in the case of each. (filmcommission.nl)",en,N/A,0,Frank Scheffer,"Nederlandse Omroepstichting (NOS), Allarts",
